PseudoTimeSec,PseudoTimestamp,UF-FP1,UF-FP2,UF-O1,UF-O2,UF-C3,UF-CZ,UF-FZ,UF-C4
30.86,09-21-2026 21:19:00:201,-196918.511,111313.163,129679.323,67437.94,119847.506,28503.704,-167469.954,49974.298
30.864,09-21-2026 21:19:00:205,-188549.034,120055.019,128706.575,70321.851,118979.14,41455.825,-156199.757,52551.678
30.868,09-21-2026 21:19:00:209,-186894.603,121824.205,128569.246,70184.522,119141.235,42660.674,-153945.718,51600.03
30.872,09-21-2026 21:19:00:213,-193415.009,114955.603,129370.332,67334.943,119998.022,31214.613,-162696.694,48269.263
30.876,09-21-2026 21:19:00:217,-198864.901,109231.768,129976.869,65961.652,120414.838,23834.917,-169989.174,47555.527
30.88,09-21-2026 21:19:00:221,-196821.192,111417.232,129690.767,67472.272,119835.927,28503.704,-167337.363,49974.298
30.884,09-21-2026 21:19:00:225,-188646.354,119950.95,128740.907,70287.519,118979.14,41305.219,-156199.757,52551.678
30.888,09-21-2026 21:19:00:229,-186699.964,122032.344,128603.578,70287.519,119118.079,42811.28,-153680.537,51639.682
30.892,09-21-2026 21:19:00:233,-193220.37,115059.673,129416.109,67369.275,119998.022,31515.826,-162431.513,48308.915
30.896,09-21-2026 21:19:00:237,-198572.942,109439.908,129999.757,66064.649,120414.838,23985.523,-169723.993,47595.179
30.9,09-21-2026 21:19:00:241,-196918.511,111209.093,129725.099,67403.608,119835.927,28353.098,-167469.954,49894.994
30.904,09-21-2026 21:19:00:245,-188485.824,120011.567,128760.085,70311.614,118952.497,41350.37,-156117.324,52525.392
30.908,09-21-2026 21:19:00:249,-186632.506,121920.228,128602.371,70242.056,119096.8,42860.006,-153659.258,51655.999
30.912,09-21-2026 21:19:00:253,-192485.087,115876.137,129334.614,67633.607,119914.516,32443.512,-161421.572,48534.086
30.916,09-21-2026 21:19:00:257,-198240.125,109726.01,129965.47,66068.538,120371.475,24291.474,-169054.513,47585.657
30.92,09-21-2026 21:19:00:261,-197167.152,110998.45,129773.96,67251.035,119866.415,27612.675,-167760.794,49719.623
30.924,09-21-2026 21:19:00:265,-188875.996,119481.384,128805.146,70172.497,119000.598,40746.515,-156634.811,52446.357
30.928,09-21-2026 21:19:00:269,-186632.506,121920.228,128602.371,70311.614,119108.825,42860.006,-153529.886,51735.035
30.932,09-21-2026 21:19:00:273,-191899.829,116300.284,129233.227,67807.504,119878.44,33349.294,-160515.968,48692.158
30.936,09-21-2026 21:19:00:277,-198142.582,109832.047,129942.939,65998.979,120383.501,24291.474,-168795.77,47506.621
30.94,09-21-2026 21:19:00:281,-197752.41,110256.193,129830.286,66938.021,119962.617,26706.892,-168407.654,49561.551
30.944,09-21-2026 21:19:00:285,-189168.625,119057.237,128816.411,70068.159,119048.699,40293.624,-157022.927,52406.839
30.948,09-21-2026 21:19:00:289,-186925.135,121496.081,128602.371,70172.497,119144.901,42709.043,-153918.002,51735.035
30.952,09-21-2026 21:19:00:293,-191607.2,116512.357,129199.431,67911.842,119866.415,34104.113,-159998.481,48850.229
30.956,09-21-2026 21:19:00:297,-198142.582,109619.973,129965.47,65998.979,120395.526,24140.51,-168795.77,47506.621
30.96,09-21-2026 21:19:00:301,-197947.496,109832.047,129875.348,66868.462,119998.693,26254.001,-168795.77,49482.515
30.964,09-21-2026 21:19:00:305,-189656.34,118421.017,128895.268,69929.042,119108.825,39840.733,-157540.415,52367.321
30.968,09-21-2026 21:19:00:309,-187315.308,120859.861,128681.228,70068.159,119168.951,42105.188,-154435.489,51655.999
30.972,09-21-2026 21:19:00:313,-193167.888,114603.697,129390.941,67459.711,119998.693,31839.658,-162197.803,48455.05
30.976,09-21-2026 21:19:00:317,-199020.469,108453.57,130033.062,65894.641,120479.702,23687.619,-169960.117,47506.621
30.98,09-21-2026 21:19:00:321,-197557.324,109938.083,129807.756,67146.697,119938.567,27461.711,-168148.91,49680.105
30.984,09-21-2026 21:19:00:325,-189071.082,118739.127,128827.677,70137.718,119048.699,40746.515,-156764.183,52525.392
30.988,09-21-2026 21:19:00:329,-186730.049,121177.971,128636.167,70276.835,119120.85,42860.006,-153529.886,51774.553
30.992,09-21-2026 21:19:00:333,-192680.173,114815.77,129368.41,67564.048,119974.642,32443.512,-161421.572,48494.568
30.996,09-21-2026 21:19:00:337,-198532.754,108665.643,130021.796,65998.979,120455.652,23989.546,-169313.257,47546.139
31,09-21-2026 21:19:00:341,-197459.781,109832.047,129830.286,67111.917,119938.567,27310.747,-167890.166,49640.587
31.004,09-21-2026 21:19:00:345,-188872.598,118774.22,128824.771,70226.901,119027.42,40859.704,-156320.591,52526.868
31.008,09-21-2026 21:19:00:349,-186680.518,121061.787,128622.801,70261.636,119095.548,42961.93,-153296.131,51820.374
31.012,09-21-2026 21:19:00:353,-192398.988,115134.909,129340.917,67621.805,119924.44,32751.117,-160983.299,48601.901
31.016,09-21-2026 21:19:00:357,-198498.69,108584.149,130014.152,65919.809,120458.111,24041.894,-169174.542,47542.16
